Name,Address,Phone,State,ProfileURL,Website,ID
Aesthetik Dental,,,VIC,https://www.dentist.com.au/dentist-detail/vic/geelong/aesthetik-dental/A23019010,,A23019010
Dentalspa Geelong,,,VIC,https://www.dentist.com.au/dentist-detail/vic/geelong/dentalspa-geelong/A11000791,,A11000791
Geelong Dental and Implant Centre,,,VIC,https://www.dentist.com.au/dentist-detail/vic/geelong/geelong-dental-and-implant-centre/A12010908,,A12010908
Myers Street Dental Clinic,,,VIC,https://www.dentist.com.au/dentist-detail/vic/geelong/myers-street-dental-clinic/A11003590,,A11003590
Nova Dental Implant Centre,,,VIC,https://www.dentist.com.au/dentist-detail/vic/geelong/nova-dental-implant-centre/A25020197,,A25020197
Geelong Orthodontics,,,VIC,https://www.dentist.com.au/dentist-detail/vic/geelong/geelong-orthodontics/A11005865,,A11005865
Specialist Surgicentre,,,VIC,https://www.dentist.com.au/dentist-detail/vic/geelong/specialist-surgicentre/A20016398,,A20016398
Wyatt Ryan Dental Surgeons,,,VIC,https://www.dentist.com.au/dentist-detail/vic/geelong/wyatt-ryan-dental-surgeons/A11001220,,A11001220
Garden Street Dental,,,VIC,https://www.dentist.com.au/dentist-detail/vic/geelong/garden-street-dental/A11009722,,A11009722
GMHBA Dental Care Geelong,,,VIC,https://www.dentist.com.au/dentist-detail/vic/geelong/gmhba-dental-care-geelong/A11003596,,A11003596
Smile Care Dentists,,,VIC,https://www.dentist.com.au/dentist-detail/vic/geelong/smile-care-dentists/A15013449,,A15013449
Geelong Periodontics & Dental Implants,,,VIC,https://www.dentist.com.au/dentist-detail/vic/geelong/geelong-periodontics-and-dental-implants/A11003591,,A11003591
Geelong Smile Studio,,,VIC,https://www.dentist.com.au/dentist-detail/vic/geelong/national-dental-care---geelong-smile-studio/A11002737,,A11002737
Southern Dental Specialists,,,VIC,https://www.dentist.com.au/dentist-detail/vic/geelong/southern-dental-specialists/A11004264,,A11004264
CBD Dental Ballarat,,,VIC,https://www.dentist.com.au/dentist-detail/vic/ballarat-central/cbd-dental-ballarat/A18015489,,A18015489
Creswick Dental Centre,,,VIC,https://www.dentist.com.au/dentist-detail/vic/creswick/creswick-dental-centre/A15013046,,A15013046
Ballan Family Dental,,,VIC,https://www.dentist.com.au/dentist-detail/vic/ballan/ballan-family-dental/A25020107,,A25020107
Raglan Dental,,,VIC,https://www.dentist.com.au/dentist-detail/vic/ballarat/raglan-dental/A11003628,,A11003628
Alfredton Dental,,,VIC,https://www.dentist.com.au/dentist-detail/vic/ballarat/alfredton-dental/A11010353,,A11010353
Dental on Errand,,,VIC,https://www.dentist.com.au/dentist-detail/vic/ballarat/dental-on-errand/A14012065,,A14012065
Lydiard North Dental Practice,,,VIC,https://www.dentist.com.au/dentist-detail/vic/ballarat/lydiard-north-dental-practice/A11003629,,A11003629
Dr Didaskalu's Dental Practice,,,VIC,https://www.dentist.com.au/dentist-detail/vic/ballarat/dr-didaskalus-dental-practice/A11001932,,A11001932
Dr Graeme Fowler - Oral Surgery,,,VIC,https://www.dentist.com.au/dentist-detail/vic/ballarat/dr-graeme-fowler---oral-surgery/A11005825,,A11005825
Dana Street Dental,,,VIC,https://www.dentist.com.au/dentist-detail/vic/ballarat/dana-street-dental/A15013307,,A15013307
Lydiard Street Dental Clinic,,,VIC,https://www.dentist.com.au/dentist-detail/vic/ballarat/lydiard-street-dental-clinic/A11003624,,A11003624
